,Date,Username,Tweet,Lokasi
21,2023-03-03 02:16:54+00:00,"@Quvvatt @puanmaharani_ri @PDI_Perjuangan Orasi BK bisa menyihir dunia saat itu,diplomasinya hebat,masa sih hasto tak tahu?",sri_darmo,
22,2023-03-03 02:00:44+00:00,"@PUTRI_41708 @KPK_RI @jokowi 
@mohmahfudmd 

Udah sering pak.. #BubarkanKPK 
@puanmaharani_ri  sahkan RUU perampasan Aset Koruptor",AswinbaharD,Jakarta
23,2023-03-03 01:52:35+00:00,"Kyai Imam Aziz, Stafsus Wapres RI Apresiasi @DPP_PKB atas inisiasi fit n proper test Caleg PKB. Ini  jadi model yg bagus.
@cakimiNOW 
@halimiskandarnu
@EmHasanuddin
@yusuf_ch
@yazid_my 
@FarsaLukman
@Bambangelf 
@masbams70 
@mohmahfudmd 
@prabowo 
@puanmaharani_ri 
@psi_id https://t.co/1dmisfxeJw",Brigade01Arwan1,"Jakarta, Indonesia"
24,2023-03-03 01:47:08+00:00,@sasakpujut @ganjarpranowo @PDI_Perjuangan @puanmaharani_ri @KakekHalal @AriozAtha @4rios16 @indarsih72 Hahaha,Siantar72,
25,2023-03-03 01:21:59+00:00,@dan_kenapa @lovehateloveone @puanmaharani_ri ngawur mas sampean😭🙏,dutasz,"Yogyakarta, Indonesia"
26,2023-03-03 00:52:38+00:00,"Yth bu @puanmaharani_ri 
ini pa Hasto mulai nyindir Bung Karno bu
cc @PDI_Perjuangan 

https://t.co/S2XIQg3rPY",Quvvatt,Indonesia
27,2023-03-03 00:44:50+00:00,@puanmaharani_ri Ini dia baru sosok pemimpin.,Balukang11,
28,2023-03-02 22:50:09+00:00,"@NasDem @aniesbaswedan @PKSejahtera @PDemokrat @puanmaharani_ri @DPR_RI Ada yg otak nya cerdas? Silahkan simak video youtube satu ini 
https://t.co/juK9k78UsF",RaniaDanRayhan,
29,2023-03-02 22:36:16+00:00,@OposisiCerdas @66Hasto bukannya Bung Karno terkenal sebagai ORATOR ULUNG? @PDI_Perjuangan @puanmaharani_ri,dabenone2,
30,2023-03-02 20:27:14+00:00,"@puanmaharani_ri Pemeras rakyat mereka para pecinta harta dan tahta dengan dalih mewakili rakyat hanya untuk kepentingan pribadi dan kelompok nya.🤭

Kami PDIP (Perjuangan Dawagung Islam Persatuan) akan terus bergerak karena Alloh untuk mendapat keridoan-Nya.🤲

Hingga masarakaat adil &amp; makmur.🤝",adangkomarudin3,
31,2023-03-02 17:57:08+00:00,"Kelas tokoh👉🏻
Habis Jokowi terbitlah @aniesbaswedan 

Kelas partai
Habis partai  PAN @dpp_pan terbitlah Partai UMMAT @DPP_PartaiUmmat 

Kelas kader
Habis puan @puanmaharani_ri terbitlah ganjar @ganjarpranowo 

Kelas bocil 

Habis si David terbitlah rubicon",mas_rifai77,Indonesia
32,2023-03-02 16:30:41+00:00,Beliau @jokowi pidato sprti ini sudah yg ke berapa kali ya.Terakhir Oktober 2022.Ngumpulkan pejabat  Polri @ListyoSigitP mana perubahnnya? Semakin mundur. Kapolri yg berwajah jujur ijibsepertinya di Kibulin anggotanya.@mohmahfudmd @pramonoanung @agusandrianto89 @puanmaharani_ri,goenahmad,Jakarta
33,2023-03-02 16:21:24+00:00,"Jika mbak @puanmaharani_ri sebagai ketua @DPR_RI dan jika @PDI_Perjuangan mampu meloloskan RUU Perampasan Aset terhadap para koruptor,maka  @KPK_RI lebih baik dibubarkan saja sebab tidak berguna belakangan ini.
Cukup @KejaksaanRI saja .",saposikompak,"Medan Maimun, Indonesia"
